id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54186600,Nashville's Cumberland Cottage with Hot Tub,45101594,Scarlett,,District 15,36.162136,-86.667427,Entire home/apt,259,2,70,2024-09-02,2.32,49,318,25,
54192201,Airy Guest House in Heart of East Nashville!,1935745,Lindsay,,District 6,36.17748,-86.74371,Entire home/apt,119,1,191,2024-09-14,6.80,1,135,95,
54194272,Modern Farmhouse - Game Table - Min To Broadway,101426897,Host Extraordinaires,,District 17,36.13766,-86.78736,Entire home/apt,309,2,95,2024-09-01,2.92,207,314,38,
54195220,Music City Rooftop! Country Star Murals! 6 Beds!,207550233,Jordan,,District 24,36.15251,-86.82701,Entire home/apt,349,2,95,2024-08-25,3.05,2,343,22,
54196255,Music Row 2BR/2 bath sleeps 12,60934272,Travers,,District 19,36.14591,-86.79442,Entire home/apt,,2,6,2023-05-21,0.19,21,229,0,
54197466,Hart Suite Buyout 5 by AvantStay | Two Townhomes,338667310,AvantStay Nashville,,District 17,36.142044,-86.761795,Entire home/apt,354,1,6,2024-02-11,0.19,159,309,2,
54197514,Hart Suite Buyout 4 by AvantStay | Two Townhomes,338667310,AvantStay Nashville,,District 17,36.142044,-86.761795,Entire home/apt,394,1,9,2024-01-29,0.28,159,305,3,
54197545,Hart Suite Buyout 3 by AvantStay | 2 Townhomes,338667310,AvantStay Nashville,,District 17,36.142044,-86.761795,Entire home/apt,378,1,40,2024-09-02,1.26,159,319,20,
54197562,Hart Suite Buyout 1 by AvantStay | Two Townhomes,338667310,AvantStay Nashville,,District 17,36.142044,-86.761795,Entire home/apt,396,1,21,2024-09-09,0.66,159,317,9,
54198930,Downtown 3BR | Balcony | Garage Parking | W/D,134126657,Vacasa Tennessee,,District 17,36.1451,-86.78678,Entire home/apt,128,2,5,2022-05-04,0.16,96,364,0,
54226856,"12 South: Walkable, cozy, historic 1BR retreat",40909605,Kelsey,,District 17,36.1251,-86.78741,Entire home/apt,158,1,165,2024-09-01,5.86,1,213,61,
54227245,Songwriter's Suite,438770271,Christy,,District 19,36.1443,-86.7938,Entire home/apt,96,1,2807,2024-09-15,86.02,6,355,881,
54228687,8-person house near downtown Nashville,239205953,Joey,,District 19,36.18209,-86.7936,Entire home/apt,,1,40,2024-06-04,1.69,1,337,14,
54231383,Cheerful 3bedroom Townhouse with Free parking,166338488,Adegoke,,District 3,36.25443,-86.7745,Entire home/apt,136,2,21,2024-09-03,0.68,2,334,18,
53415403,Chic Townhome in Trendy East Nash,388056808,Grand Welcome Nashville,,District 5,36.20114,-86.75215,Entire home/apt,222,1,19,2024-06-10,0.56,78,327,3,
53415433,Modern Duplex | 1 mile from Robust Nightlife,388056808,Grand Welcome Nashville,,District 19,36.16864,-86.79901,Entire home/apt,207,1,12,2024-07-14,0.35,78,338,4,
53415659,The Show - The Music City Collection,58648367,Southern Sky Vacation Rentals,,District 20,36.16384,-86.86148,Entire home/apt,275,2,71,2024-08-18,2.14,6,351,18,
53417336,The Ridley- Cozy Home in Central Location,85360355,StayLocal,,District 17,36.13571,-86.77578,Entire home/apt,89,1,45,2023-02-24,1.32,114,364,0,
53430789,Central Townhouse - Walk to Broadway & Germantown,16153334,Nicholas,,District 19,36.17018,-86.78235,Entire home/apt,,3,12,2024-08-11,0.45,1,0,8,
53430832,"Nashville Oasis. Hot Tub, Games & More!",55191749,James,,District 1,36.18104,-86.84166,Entire home/apt,392,3,79,2024-09-09,2.70,3,315,23,
53430959,Modern Luxury Loft + Pool | Near DT,388056808,Grand Welcome Nashville,,District 21,36.15902,-86.80662,Entire home/apt,,1,23,2024-07-03,0.70,78,58,5,
53431819,★Cozy Riverfront Apartment Downtown Nashville!★,422205718,Shirley,,District 19,36.17244,-86.77917,Entire home/apt,182,3,69,2024-09-09,2.08,2,345,18,
53432217,"New, Luxury Home| Private Roof Deck",276892829,Heirloom,,District 5,36.1781669,-86.7561916,Entire home/apt,335,1,80,2024-09-14,2.37,7,289,33,
53454686,Spacious Home- 11 Beds-No Bunks-1.5 Mi to Broadway,70801117,Harley,,District 17,36.13646,-86.78839,Entire home/apt,342,1,25,2024-09-02,0.91,59,322,11,
53457807,2 Bedroom Condo. Nashville Resort.,427996505,Ace,,District 15,36.21955,-86.7045,Entire home/apt,,1,2,2022-09-18,0.07,3,286,0,
53457968,2 Bedroom Lockoff Condo. Nashville Resort.,427996505,Ace,,District 15,36.21821,-86.70502,Entire home/apt,,1,1,2022-09-18,0.04,3,286,0,
53458277,1 Bedroom Condo. Nashville Resort.,427996505,Ace,,District 15,36.21804,-86.70438,Entire home/apt,,1,2,2022-05-21,0.07,3,286,0,
53458823,Lovely 2 bedroom With salt pool aptB,404910344,Mp,,District 6,36.1898,-86.73458,Entire home/apt,,30,4,2023-04-01,0.12,3,0,0,
53460713,*SLEEPS 12* East Nashville Secret *4BR* 4BA*,12153920,Shac,,District 6,36.1886,-86.74407,Entire home/apt,,2,55,2024-08-11,1.65,14,75,23,
53479010,Modern Nashville Condo: 7 Miles to Downtown!,121235121,Evolve,,District 7,36.22623,-86.72538,Entire home/apt,147,2,31,2024-06-23,0.99,53,340,7,
53479542,River Getaway Home,370624006,Seth,,District 9,36.22555,-86.67733,Entire home/apt,145,30,3,2024-03-18,0.09,2,352,1,
53494083,Cleveland Green Suite,79078595,Jordan,,District 5,36.18366,-86.75695,Private room,,2,72,2024-06-30,2.94,1,3,27,
53497354,Music City Manor,440360756,Chris,,District 21,36.16863,-86.81405,Entire home/apt,76,2,126,2024-08-26,3.83,41,73,31,
53501307,Perfectly located private guest suite 2 BR 1 BT,432951602,Yuliya,,District 15,36.18221,-86.67766,Entire home/apt,117,1,124,2024-09-09,3.65,1,30,39,
53502494,"Landing | Beautiful 1BD, Pool, Gym",263502162,Landing,,District 4,36.03447,-86.7773,Entire home/apt,81,30,0,,,25,47,0,
53508136,"7- 4 King Bedrooms, Rooftop w/ City Views!",69852847,Laura And The Music City Collection Team,,District 17,36.11968,-86.76967,Entire home/apt,,3,29,2024-08-25,0.88,27,325,8,
53508162,"8-New! Four King Bedrooms , Rooftop w/ Fireplace!",69852847,Laura And The Music City Collection Team,,District 17,36.1198,-86.76764,Entire home/apt,,3,46,2024-09-09,1.39,27,336,16,
53508179,9- Modern 4 King Bedrooms and Rooftop Fireplace!,69852847,Laura And The Music City Collection Team,,District 17,36.11943,-86.76911,Entire home/apt,,3,36,2024-09-02,1.09,27,341,10,
53508197,10- Modern 4 King Beds w/ Rooftop Fireplace,69852847,Laura And The Music City Collection Team,,District 17,36.11875,-86.76834,Entire home/apt,221,3,83,2024-09-15,2.52,27,338,34,
53512576,Mid Century Music City,42939523,Ryan,,District 8,36.26732,-86.75195,Entire home/apt,105,30,11,2022-03-27,0.33,1,79,0,
53569868,Cozy 2 Bedroom Home in the Heart of East Nashville,96688514,Jaymin,,District 7,36.20836,-86.7211,Entire home/apt,95,14,11,2024-08-31,0.33,1,300,3,
53583491,2 Beautiful Homes in Nashville (Sleeps 20),440360756,Chris,,District 21,36.16744,-86.81289,Entire home/apt,178,3,25,2024-09-08,0.91,41,69,8,
53587424,Dual Nashville | 1 mile from DT Nash & Farmers Mar,388056808,Grand Welcome Nashville,,District 19,36.16864,-86.79903,Entire home/apt,,1,11,2024-03-24,0.33,78,326,6,
53602929,Studio Suite / Close to Downtown,418433802,Chris,,District 17,36.11413956,-86.76805115,Entire home/apt,,2,39,2024-05-19,1.20,2,354,5,
53606851,The Auden: Travler's Paradise <1mi To Music Row,6675690,Isabeau And Shaun,,District 17,36.1359603,-86.7864647,Entire home/apt,390,2,64,2024-07-28,2.05,66,344,21,
53611190,Hall of fame | 2 KG BD | Free Park | Music Row,432149499,Melissa,,District 18,36.13618,-86.79668,Entire home/apt,230,3,93,2024-09-10,2.81,30,120,39,
